min_cluster_size,min_samples,num_clusters,num_outliers,proportion_outliers,dbcv_score,dbcv_sample_size,dbcv_scored_users,mean_cluster_persistence,dbcv_error
1000,200,2,759,0.0072464459953599835,0.505147564925373,30000,30000,,
2000,200,2,759,0.0072464459953599835,0.505147564925373,30000,30000,,
1000,300,2,762,0.007275088074393026,0.5051345345217796,30000,30000,,
1000,50,2,767,0.0073228248727814325,0.5051084730305151,30000,30000,,
2000,50,2,767,0.0073228248727814325,0.5051084730305151,30000,30000,,
1000,500,2,789,0.007532866785690417,0.5050954448767844,30000,30000,,
2000,500,2,789,0.007532866785690417,0.5050954448767844,30000,30000,,
1000,1000,2,829,0.007914761172797663,0.5049255652282088,30000,30000,,
2000,1000,2,829,0.007914761172797663,0.5049255652282088,30000,30000,,
1000,100,2,605,0.005776152604997088,0.49171459213407204,30000,30000,,
2000,100,2,605,0.005776152604997088,0.49171459213407204,30000,30000,,
2000,2000,3,5688,0.05430538184665031,0.1278311780295057,30000,30000,,
1000,30,2,733,0.006998214643740274,0.03242022939798722,30000,30000,,
2000,30,2,733,0.006998214643740274,0.03242022939798722,30000,30000,,
