user_id,umap_0,umap_1,umap_2,umap_3,umap_4,clst_se_act_chain_weekday_umap5d_size1000_sample200
000088cc-b646-409b-a026-69cd9d47b838,9.942413,2.113105,8.486463,-0.7307647,8.098234,0
000135bd-bf0b-4880-af99-1791ce98dddf,9.58024,3.2488148,7.893205,-0.97881454,7.109283,0
00016f95-edc9-4642-a6e6-70ce63b66346,10.28227,4.2774463,8.633672,-0.80501837,6.699747,0
0001dfff-15bc-404b-a5f2-a1ec0b458766,9.722697,3.5125656,8.469083,0.07821621,1.8085359,0
00026b53-cb9f-4b07-aeb4-8e2aced6bb15,10.589106,2.483518,9.652382,0.9751405,7.134463,0
00026fae-eed5-4c83-a025-8ec3335e0417,-6.9487605,3.9839532,8.42862,-0.0042914897,6.1568317,-1
0003d218-1f12-41f1-a070-4b1205aef565,9.416359,4.995447,9.976663,0.15270782,9.665437,0
0005357c-865f-4a6f-afa3-cc26b314757c,9.384899,4.0254436,9.701427,0.92020756,9.566823,0
0005b2e3-6f55-4d75-a892-91a7d63f4ff0,9.248585,2.7834044,8.759857,0.36911365,1.2629553,0
0005be20-5401-4a59-afd1-4c2e591b4496,10.120251,3.4979541,9.154247,4.310482,6.7865424,0
00064da1-e7c0-4100-a5f5-3dfb7dc4dc16,11.014775,3.5760608,9.547486,4.1863585,7.1567235,0
0006ab78-262a-4ed4-a2fe-36e0e8f80863,9.93029,3.8507643,9.086452,4.538412,6.5628433,0
0006bcc5-b89b-4a1a-a89d-82dfdd719940,9.416316,4.240496,9.668001,2.4970894,9.10336,0
0006be50-bf70-4147-acdf-eb0c28890ca2,10.069975,3.9069288,9.121115,-0.4444989,6.0455155,0
0006d801-389e-4e3a-a4e5-4baca2077ff8,11.304652,5.2963524,10.012588,1.1866624,6.0119514,0
0006e329-3903-495e-a2cf-ca97f0f5a324,10.8916855,2.6269867,10.124102,2.019957,7.3038964,0
00078dbb-e80a-433b-ace2-cecc4163f37c,9.405639,9.578846,9.492025,1.6790245,8.497927,1
0007fd9f-7659-4cca-a673-c8ab5756b5ae,9.980394,4.2961183,8.64636,-0.91061205,6.298383,0
000a0feb-3790-400f-a6f3-a68788426289,11.184899,5.9919477,9.557167,-0.21788749,4.7682405,0
000a4ccb-72c5-4668-a77a-35a6c13b6f7c,9.623325,3.9501119,8.406767,-1.0100833,6.3203726,0
000b135f-0866-469a-a869-8b243cf3a1a8,11.278856,6.1290565,9.632232,-0.36217177,5.1895366,0
000c47a5-9899-4c8e-a597-c0164e955679,9.506918,4.1628532,8.230351,0.24814221,1.7700863,0
000c6f22-8a5b-4383-a55d-461e384a9a97,10.567448,2.5590215,9.645465,4.0353928,7.991742,0
000e3e28-938e-441f-afc1-5c38f2e46899,9.984425,3.5612056,8.129354,-0.3678853,7.6070495,0
000f5680-b614-4e6b-a7cf-eb3b2fc5e80a,9.12263,2.6799073,7.826983,-1.0556233,7.5013304,0
000f5888-df85-4eea-af00-3291e3bb1633,10.44677,4.6593204,9.091122,-0.72224164,6.1894646,0
000f8691-f280-47c9-af48-ec99519b4135,8.745474,3.1025057,7.538207,-0.5176016,7.6942058,0
0010d94c-8671-485d-ae51-2e7030324be9,9.578449,2.4468055,8.816596,-0.87956166,10.060589,0
00112799-08a5-4f1b-afa4-625b66b5ea19,9.926441,2.483346,10.421778,2.5445876,7.7597165,0
0012515f-a8b6-4004-a06e-1f379408288e,9.717317,4.038459,9.598187,3.7033205,7.9719267,0
00125a7e-8441-4617-a7e9-f76e04b0fe0d,9.876848,2.2648633,8.353417,-0.70294774,8.719042,0
001303d5-0c05-48a6-ae37-95f0fd6542f9,9.5878105,3.2858152,7.9350867,-0.9598857,7.1623855,0
0013d72a-db99-4027-a9f6-9fa1a3c503bb,9.748345,2.4990985,8.635827,-1.0276116,10.635229,0
0013d876-fe16-4cdf-a906-60819b69bf2e,9.316186,2.9192908,7.776722,-1.1438074,6.983166,0
0013e598-4580-488e-a984-8035dd4abfad,11.232919,6.291034,10.041791,0.23301323,5.9593124,0
001459d3-a12f-4ae0-adfd-a3cd0a4c9cae,10.204702,2.2590945,9.117092,3.337493,8.235394,0
00148148-7e5e-4022-a8f7-06696fb05019,8.9809065,4.6637406,9.07524,1.568603,9.343727,0
001584b0-4849-4f52-a8a5-ab398bc91b04,8.2178,2.0198038,8.7444105,-0.6344175,7.9716973,0
0015b222-4e41-444e-a98b-5fb7d5e6feea,8.250236,1.4516098,10.980831,-1.1415104,8.699464,0
00169b0b-a635-4bbf-adfe-ca4828fa4144,10.656809,4.037851,9.327053,2.9310162,6.90278,0
